"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"FBgn0000274"	0.122116726304163	0.0898519296980286	4.0804728567969	0.0220199797551308	0.982432017861418	NA
"FBgn0000276"	0	NA	NA	NA	NA	NA
"FBgn0000277"	0.225220984662723	-0.779958012182783	3.77288954521425	-0.206726966913762	0.836223095744763	NA
"FBgn0000278"	0	NA	NA	NA	NA	NA
"FBgn0000279"	0.48560039260275	-1.87463914674905	2.87551383652041	-0.651931881857158	0.514445116676873	NA
"FBgn0000280"	0	NA	NA	NA	NA	NA
"FBgn0000281"	0	NA	NA	NA	NA	NA
"FBgn0000283"	2983.15062693002	-1.41182324805902	0.114221151187336	-12.360436166008	4.27829048530988e-35	2.45351055739729e-34
"FBgn0000286"	1406.33865550504	0.365877261035169	0.139037984336145	2.63149140705755	0.00850110168917838	0.0138804831135825
"FBgn0000287"	290.123855692658	-1.75537131441694	0.198447681974827	-8.84551180920119	9.11097458310439e-19	3.52976365697992e-18
"FBgn0000289"	4929.08222900922	0.115777466326889	0.0822047559936788	1.40840350326923	0.1590116224675	0.204682944862645
"FBgn0000299"	37.3885334525945	0.0653313249109965	0.522617327426936	0.1250079579884	0.900517250199465	0.915423655684228
"FBgn0000303"	2830.74795872533	4.20021116746967	0.107571785001706	39.0456583703902	0	0
"FBgn0000307"	2173.6041204854	-0.561523867039218	0.0871310152596474	-6.44459226563464	1.15911603015797e-10	3.3832210690135e-10
"FBgn0000308"	12129.6860729913	-4.23344067231773	0.142673653789171	-29.6721963718227	1.75447520443842e-193	4.97502507179413e-192
"FBgn0000316"	249.850528873934	0.293476114060984	0.144889047268183	2.02552311299123	0.042813677599002	0.0620942770791463
"FBgn0000317"	82.4598230582719	-2.9379549714198	0.302129629596977	-9.72415375260896	2.37875050253434e-22	1.01446157344193e-21
"FBgn0000318"	314.784726092615	-0.911610459121561	0.142949590770725	-6.37714633673687	1.80418054825791e-10	5.20943803120035e-10
"FBgn0000319"	3389.17193321426	0.721832432708839	0.125648193024747	5.74486918858175	9.19920747869983e-09	2.4374724549701e-08
"FBgn0000320"	98.1103775794558	-1.71874296825017	0.236727025051676	-7.26044256195498	3.85825858930681e-13	1.24071529201916e-12
"FBgn0000326"	31.7510357844747	-0.074769768213518	0.333014957792544	-0.224523753254641	0.822349786243066	0.849297823635809
"FBgn0000330"	145.939475079114	1.60818671409043	0.173640884624381	9.26156715665923	2.01453351597856e-20	8.16988365895156e-20
"FBgn0000337"	0.339264733301036	-1.37209827499572	3.23405002390646	-0.424266249703318	0.671371650137427	NA
"FBgn0000339"	201.318460352057	-0.64709212198439	0.158206541642196	-4.09017298063356	4.31051583690615e-05	8.98818659278821e-05
